task,mode,agent,steps,total_reward,oracle_score,coverage,success,partial_success,compromise_detected,phase,failure_reason,counterfactual_gain_diff,counterfactual_reward,efficiency_reward,regret,regret_penalty,had_checkpoints,phase_gating_violations,total_noisy_observations,noise_rate,matched_trajectory,valid_path_count,trajectory_diversity_bonus,path_frequency,contextual_bonus_scale,exploration_alpha,policy_entropy,entropy_normalized,time_decay_factor
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
hard,adversarial,random,16,2.7413454104358803,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.1875,-0.3208608273867088,-0.01604304136933544,1,0,0,0.0,alternative_3,5,0.01473139127471974,0.16666666666666666,0.8333333333333334,1.0,1.4931328410233808,0.9277355949132005,0.7071067811865475
